3-Minute-Journal,1,25.459,00.102,03.374
3-Minute-Journal,2,26.097,00.085,03.223
3-Minute-Journal,3,24.239,00.067,03.119
3-Minute-Journal,4,22.908,00.067,03.128
3-Minute-Journal,5,26.685,00.065,03.487
AccountKiller,1,46.097,00.130,07.623
AccountKiller,2,44.481,00.124,07.679
AccountKiller,3,44.730,00.121,07.619
AccountKiller,4,44.870,00.124,07.590
AccountKiller,5,44.092,00.128,08.359
AirBnb,1,28.761,00.059,03.295
AirBnb,2,26.488,00.059,56.631
AirBnb,3,26.631,00.058,11.125
AirBnb,4,25.351,00.058,57.059
AirBnb,5,25.373,00.057,57.644
BugMeNot,1,17.120,00.007,04.258
BugMeNot,2,16.619,00.008,04.383
BugMeNot,3,16.640,00.012,04.354
BugMeNot,4,16.676,00.007,04.298
BugMeNot,5,16.529,00.008,04.373
CloudConvert,1,42.969,00.015,03.306
CloudConvert,2,43.404,00.014,03.321
CloudConvert,3,42.948,00.014,03.296
CloudConvert,4,42.829,00.014,03.290
CloudConvert,5,43.136,00.015,03.537
Covered-Calendar,1,20.562,00.011,04.235
Covered-Calendar,2,19.588,00.011,04.281
Covered-Calendar,3,19.840,00.010,04.195
Covered-Calendar,4,19.889,00.010,04.209
Covered-Calendar,5,19.552,00.011,04.208
Days-Old,1,08.559,00.007,00.002
Days-Old,2,08.645,00.007,00.002
Days-Old,3,08.510,00.007,00.002
Days-Old,4,08.470,00.007,00.002
Days-Old,5,08.527,00.007,00.003
Dictation,1,15.546,00.006,01.913
Dictation,2,15.468,00.007,01.973
Dictation,3,17.866,00.017,02.534
Dictation,4,17.376,00.006,01.919
Dictation,5,15.437,00.006,01.893
Duolingo,1,23.923,00.161,29.655
Duolingo,2,23.320,00.156,29.474
Duolingo,3,25.211,00.168,27.893
Duolingo,4,23.283,00.163,29.238
Duolingo,5,23.134,00.155,29.384
GetPocket,1,49.247,00.035,20.464
GetPocket,2,48.215,00.034,20.632
GetPocket,3,48.014,00.035,20.385
GetPocket,4,48.343,00.036,20.604
GetPocket,5,47.861,00.039,20.343
HotelWifiTest,1,36.778,00.076,04.414
HotelWifiTest,2,36.681,00.078,04.470
HotelWifiTest,3,36.633,00.077,04.510
HotelWifiTest,4,36.750,00.078,04.400
HotelWifiTest,5,36.397,00.082,04.550
Honey,1,08.861,00.056,18.472
Honey,2,09.028,00.043,19.133
Honey,3,08.929,00.042,18.609
Honey,4,10.752,00.056,19.591
Honey,5,10.222,00.043,18.970
Mailinator,1,25.251,00.025,11.388
Mailinator,2,24.994,00.025,11.462
Mailinator,3,24.792,00.024,11.257
Mailinator,4,25.037,00.025,11.244
Mailinator,5,25.108,00.025,11.544
MidwayMeetup,1,26.925,00.010,08.282
MidwayMeetup,2,26.609,00.009,08.397
MidwayMeetup,3,27.111,00.010,08.442
MidwayMeetup,4,26.912,00.011,08.388
MidwayMeetup,5,26.638,00.013,08.430
Ninite-new,1,38.761,00.099,09.021
Ninite-new,2,39.781,00.095,09.210
Ninite-new,3,39.691,00.096,09.412
Ninite-new,4,44.983,00.096,09.162
Ninite-new,5,38.741,00.097,09.436
Pdf-Escape,1,20.808,00.023,14.135
Pdf-Escape,2,18.931,00.024,14.293
Pdf-Escape,3,18.956,00.023,14.044
Pdf-Escape,4,18.948,00.023,14.181
Pdf-Escape,5,18.749,00.023,14.112
PepFeed,1,12.840,00.242,52.999
PepFeed,2,12.650,00.241,52.489
PepFeed,3,13.807,00.247,52.396
PepFeed,4,13.559,00.288,52.259
PepFeed,5,13.729,00.235,52.298
RainyMood,1,09.729,00.004,00.010
RainyMood,2,09.603,00.004,00.003
RainyMood,3,10.092,00.004,00.003
RainyMood,4,12.406,00.004,00.003
RainyMood,5,10.051,00.004,00.002
RunPee,1,36.840,00.046,13.817
RunPee,2,30.012,00.044,13.696
RunPee,3,28.075,00.046,13.674
RunPee,4,28.853,00.043,13.758
RunPee,5,28.721,00.043,17.377
StumbleUpon,1,28.525,00.009,04.145
StumbleUpon,2,28.340,00.009,04.143
StumbleUpon,3,28.106,00.009,04.140
StumbleUpon,4,28.111,00.010,03.317
StumbleUpon,5,28.182,00.009,04.184
TopDocumentary,1,18.086,00.062,46.422
TopDocumentary,2,21.177,00.064,52.193
TopDocumentary,3,18.277,00.063,46.263
TopDocumentary,4,18.708,00.064,48.805
TopDocumentary,5,18.332,00.063,48.082
UserSearch,1,51.408,00.009,07.242
UserSearch,2,51.648,00.008,07.121
UserSearch,3,50.147,00.009,07.017
UserSearch,4,50.459,00.009,07.139
UserSearch,5,50.363,00.008,07.112
WhatShouldIReadNext,1,10.372,00.012,02.015
WhatShouldIReadNext,2,10.207,00.010,02.075
WhatShouldIReadNext,3,10.092,00.010,02.009
WhatShouldIReadNext,4,10.171,00.010,01.994
WhatShouldIReadNext,5,10.492,00.011,02.138
WillMyPhoneWork,1,24.891,00.021,05.649
WillMyPhoneWork,2,24.825,00.023,05.615
WillMyPhoneWork,3,24.421,00.021,05.646
WillMyPhoneWork,4,24.670,00.019,05.652
WillMyPhoneWork,5,24.564,00.021,05.634
ZeroDollarMovies,1,30.156,00.008,00.012
ZeroDollarMovies,2,30.291,00.006,00.004
ZeroDollarMovies,3,30.439,00.006,00.003
ZeroDollarMovies,4,30.424,00.009,00.003
ZeroDollarMovies,5,30.136,00.008,00.004
