3-Minute-Journal,31.414,00.103,04.605
AccountKiller,58.371,00.371,16.054
BugMeNot,23.282,00.015,03.386
CloudConvert,58.413,00.042,08.320
Covered-Calendar,30.887,00.027,08.083
Days-Old,13.538,00.032,00.014
Dictation,23.289,00.014,01.890
GetPocket,14.514,00.096,43.451
HotelWifiTest,50.619,00.168,26.004
Mailinator,36.071,00.057,12.269
MidwayMeetup,37.791,00.015,11.091
Ninite-new,44.571,06.348,16.347
Pdf-Escape,27.608,00.054,33.204
RainyMood,16.666,00.007,00.005
StumbleUpon,40.395,00.018,05.210
UserSearch,09.147,00.022,12.428
WhatShouldIReadNext,17.720,00.022,08.568
WillMyPhoneWork,34.599,00.053,12.153
ZeroDollarMovies,39.355,00.013,00.006
